AÑO;MES;MUNICIPIO;DATOS
2008;enero;Las Palmas;98672
2009;febrero;Las Palmas;98672
2010;marzo;Las Palmas;98672
2011;abril;Las Palmas;98672
2012;mayo;Las Palmas;98672
2013;junio;Las Palmas;98672
2014;julio;Las Palmas;98672
2015;agosto;Las Palmas;98672
2016;septiembre;Las Palmas;98672
2017;octubre;Las Palmas;98672
2018;noviemrbe;Las Palmas;98672
2019;diciembre;Las Palmas;98672
2020;enero;Las Palmas;596143
2021;febrero;Las Palmas;596143
2022;marzo;Las Palmas;596143
2023;abril;Las Palmas;596143
2024;mayo;Las Palmas;596143
2025;junio;Las Palmas;596143
2026;julio;Las Palmas;596143
2027;agosto;Las Palmas;596143
2028;septiembre;Las Palmas;596143
2029;octubre;Las Palmas;596143
2030;noviemrbe;Las Palmas;596143
2031;diciembre;Las Palmas;596143
2032;enero;Las Palmas;706143
2033;febrero;Las Palmas;706143
2034;marzo;Las Palmas;706143
2035;abril;Las Palmas;706143
2036;mayo;Las Palmas;706143
2037;junio;Las Palmas;706143
2038;julio;Las Palmas;706143
2039;agosto;Las Palmas;706143
2040;septiembre;Las Palmas;706143
2041;octubre;Las Palmas;706143
2042;noviemrbe;Las Palmas;706143
2043;diciembre;Las Palmas;706143
2044;enero;Las Palmas;1683029
2045;febrero;Las Palmas;1683029
2046;marzo;Las Palmas;1683029
2047;abril;Las Palmas;1683029
2048;mayo;Las Palmas;1683029
2049;junio;Las Palmas;1683029
2050;julio;Las Palmas;1683029
2051;agosto;Las Palmas;1683029
2052;septiembre;Las Palmas;1683029
2053;octubre;Las Palmas;1683029
2054;noviemrbe;Las Palmas;1683029
2055;diciembre;Las Palmas;1683029
2056;enero;Las Palmas;1696725
2057;febrero;Las Palmas;1696725
2058;marzo;Las Palmas;1696725
2059;abril;Las Palmas;1696725
2060;mayo;Las Palmas;1696725
2061;junio;Las Palmas;1696725
2062;julio;Las Palmas;1696725
2063;agosto;Las Palmas;1696725
2064;septiembre;Las Palmas;1696725
2065;octubre;Las Palmas;1696725
2066;noviemrbe;Las Palmas;1696725
2067;diciembre;Las Palmas;1696725
2068;enero;Las Palmas;2306979
2069;febrero;Las Palmas;2306979
2070;marzo;Las Palmas;2306979
2071;abril;Las Palmas;2306979
2072;mayo;Las Palmas;2306979
2073;junio;Las Palmas;2306979
2074;julio;Las Palmas;2306979
2075;agosto;Las Palmas;2306979
2076;septiembre;Las Palmas;2306979
2077;octubre;Las Palmas;2306979
2078;noviemrbe;Las Palmas;2306979
2079;diciembre;Las Palmas;2306979
2080;enero;Las Palmas;2314287
2081;febrero;Las Palmas;2314287
2082;marzo;Las Palmas;2314287
2083;abril;Las Palmas;2314287
2084;mayo;Las Palmas;2314287
2085;junio;Las Palmas;2314287
2086;julio;Las Palmas;2314287
2087;agosto;Las Palmas;2314287
2088;septiembre;Las Palmas;2314287
2089;octubre;Las Palmas;2314287
2090;noviemrbe;Las Palmas;2314287
2091;diciembre;Las Palmas;2314287
2092;enero;Las Palmas;2429917
2093;febrero;Las Palmas;2429917
2094;marzo;Las Palmas;2429917
2095;abril;Las Palmas;2429917
2096;mayo;Las Palmas;2429917
2097;junio;Las Palmas;2429917
2098;julio;Las Palmas;2429917
2099;agosto;Las Palmas;2429917
2100;septiembre;Las Palmas;2429917
2101;octubre;Las Palmas;2429917
2102;noviemrbe;Las Palmas;2429917
2103;diciembre;Las Palmas;2429917
2104;enero;Las Palmas;2853808
2105;febrero;Las Palmas;2853808
2106;marzo;Las Palmas;2853808
2107;abril;Las Palmas;2853808
2108;mayo;Las Palmas;2853808
2109;junio;Las Palmas;2853808
2110;julio;Las Palmas;2853808
2111;agosto;Las Palmas;2853808
2112;septiembre;Las Palmas;2853808
2113;octubre;Las Palmas;2853808
2114;noviemrbe;Las Palmas;2853808
2115;diciembre;Las Palmas;2853808
2116;enero;Las Palmas;2907906
2117;febrero;Las Palmas;2907906
2118;marzo;Las Palmas;2907906
2119;abril;Las Palmas;2907906
2120;mayo;Las Palmas;2907906
2121;junio;Las Palmas;2907906
2122;julio;Las Palmas;2907906
2123;agosto;Las Palmas;2907906
2124;septiembre;Las Palmas;2907906
2125;octubre;Las Palmas;2907906
2126;noviemrbe;Las Palmas;2907906
2127;diciembre;Las Palmas;2907906
2128;enero;Las Palmas;3418563
2129;febrero;Las Palmas;3418563
2130;marzo;Las Palmas;3418563
2131;abril;Las Palmas;3418563
2132;mayo;Las Palmas;3418563
2133;junio;Las Palmas;3418563
2134;julio;Las Palmas;3418563
2135;agosto;Las Palmas;3418563
2136;septiembre;Las Palmas;3418563
2137;octubre;Las Palmas;3418563
2138;noviemrbe;Las Palmas;3418563
2139;diciembre;Las Palmas;3418563
2140;enero;Las Palmas;3489055
2141;febrero;Las Palmas;3489055
2142;marzo;Las Palmas;3489055
2143;abril;Las Palmas;3489055
2144;mayo;Las Palmas;3489055
2145;junio;Las Palmas;3489055
2146;julio;Las Palmas;3489055
2147;agosto;Las Palmas;3489055
2148;septiembre;Las Palmas;3489055
2149;octubre;Las Palmas;3489055
2150;noviemrbe;Las Palmas;3489055
2151;diciembre;Las Palmas;3489055
2152;enero;Las Palmas;3704106
2153;febrero;Las Palmas;3704106
2154;marzo;Las Palmas;3704106
2155;abril;Las Palmas;3704106
2156;mayo;Las Palmas;3704106
2157;junio;Las Palmas;3704106
2158;julio;Las Palmas;3704106
2159;agosto;Las Palmas;3704106
2160;septiembre;Las Palmas;3704106
2161;octubre;Las Palmas;3704106
2162;noviemrbe;Las Palmas;3704106
2163;diciembre;Las Palmas;3704106
2164;enero;Las Palmas;3858758
2165;febrero;Las Palmas;3858758
2166;marzo;Las Palmas;3858758
2167;abril;Las Palmas;3858758
2168;mayo;Las Palmas;3858758
2169;junio;Las Palmas;3858758
2170;julio;Las Palmas;3858758
2171;agosto;Las Palmas;3858758
2172;septiembre;Las Palmas;3858758
2173;octubre;Las Palmas;3858758
2174;noviemrbe;Las Palmas;3858758
2175;diciembre;Las Palmas;3858758
2176;enero;Las Palmas;3983920
2177;febrero;Las Palmas;3983920
2178;marzo;Las Palmas;3983920
2179;abril;Las Palmas;3983920
2180;mayo;Las Palmas;3983920
2181;junio;Las Palmas;3983920
2182;julio;Las Palmas;3983920
2183;agosto;Las Palmas;3983920
2184;septiembre;Las Palmas;3983920
2185;octubre;Las Palmas;3983920
2186;noviemrbe;Las Palmas;3983920
2187;diciembre;Las Palmas;3983920
2188;enero;Las Palmas;4152549
2189;febrero;Las Palmas;4152549
2190;marzo;Las Palmas;4152549
2191;abril;Las Palmas;4152549
2192;mayo;Las Palmas;4152549
2193;junio;Las Palmas;4152549
2194;julio;Las Palmas;4152549
2195;agosto;Las Palmas;4152549
2196;septiembre;Las Palmas;4152549
2197;octubre;Las Palmas;4152549
2198;noviemrbe;Las Palmas;4152549
2199;diciembre;Las Palmas;4152549
2200;enero;Las Palmas;4321178
2201;febrero;Las Palmas;4321178
2202;marzo;Las Palmas;4321178
2203;abril;Las Palmas;4321178
2204;mayo;Las Palmas;4321178
2205;junio;Las Palmas;4321178
2206;julio;Las Palmas;4321178
2207;agosto;Las Palmas;4321178
2208;septiembre;Las Palmas;4321178
2209;octubre;Las Palmas;4321178
2210;noviemrbe;Las Palmas;4321178
2211;diciembre;Las Palmas;4321178
2212;enero;Las Palmas;4789310
2213;febrero;Las Palmas;4789310
2214;marzo;Las Palmas;4789310
2215;abril;Las Palmas;4789310
2216;mayo;Las Palmas;4789310
2217;junio;Las Palmas;4789310
2218;julio;Las Palmas;4789310
2219;agosto;Las Palmas;4789310
2220;septiembre;Las Palmas;4789310
2221;octubre;Las Palmas;4789310
2222;noviemrbe;Las Palmas;4789310
2223;diciembre;Las Palmas;4789310
2224;enero;Las Palmas;4840198
2225;febrero;Las Palmas;4840198
2226;marzo;Las Palmas;4840198
2227;abril;Las Palmas;4840198
2228;mayo;Las Palmas;4840198
2229;junio;Las Palmas;4840198
2230;julio;Las Palmas;4840198
2231;agosto;Las Palmas;4840198
2232;septiembre;Las Palmas;4840198
2233;octubre;Las Palmas;4840198
2234;noviemrbe;Las Palmas;4840198
2235;diciembre;Las Palmas;4840198
2236;enero;Las Palmas;5056459
2237;febrero;Las Palmas;5056459
2238;marzo;Las Palmas;5056459
2239;abril;Las Palmas;5056459
2240;mayo;Las Palmas;5056459
2241;junio;Las Palmas;5056459
2242;julio;Las Palmas;5056459
2243;agosto;Las Palmas;5056459
2244;septiembre;Las Palmas;5056459
2245;octubre;Las Palmas;5056459
2246;noviemrbe;Las Palmas;5056459
2247;diciembre;Las Palmas;5056459
2248;enero;Las Palmas;5182793
2249;febrero;Las Palmas;5182793
2250;marzo;Las Palmas;5182793
2251;abril;Las Palmas;5182793
2252;mayo;Las Palmas;5182793
2253;junio;Las Palmas;5182793
2254;julio;Las Palmas;5182793
2255;agosto;Las Palmas;5182793
2256;septiembre;Las Palmas;5182793
2257;octubre;Las Palmas;5182793
2258;noviemrbe;Las Palmas;5182793
2259;diciembre;Las Palmas;5182793
2260;enero;Las Palmas;5384227
2261;febrero;Las Palmas;5384227
2262;marzo;Las Palmas;5384227
2263;abril;Las Palmas;5384227
2264;mayo;Las Palmas;5384227
2265;junio;Las Palmas;5384227
2266;julio;Las Palmas;5384227
2267;agosto;Las Palmas;5384227
2268;septiembre;Las Palmas;5384227
2269;octubre;Las Palmas;5384227
2270;noviemrbe;Las Palmas;5384227
2271;diciembre;Las Palmas;5384227
2272;enero;Las Palmas;6586345
2273;febrero;Las Palmas;6586345
2274;marzo;Las Palmas;6586345
2275;abril;Las Palmas;6586345
2276;mayo;Las Palmas;6586345
